,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,PctNoHS18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctUnemployed16_Over,PctBlack,PctAsian,PctOtherRace,BirthRate,TARGET_deathRate
479,70.0,22,515.6,56616,9744,10.1,0.0,20.2,10.8,33.8,15.0,1.6,0.084647127,0.126970691,0.402073855,6.094022055,153.1
481,160.0,56,487.9,54637,30310,9.2,0.0,7.2,8.4,30.2,19.8,3.2,0.64516129,0.141452475,1.145420045,5.95510765,165.2
488,35.0,16,447.0,56270,5448,8.4,0.0,20.1,8.6,36.4,14.6,2.0,0.586832936,0.293416468,0.0,9.291187739,181.4
497,130.0,53,471.0,53333,21103,11.6,0.0,14.4,7.9,35.5,19.3,2.5,0.521920668,0.488707535,0.830328336,5.223193741,172.5
503,116.0,51,468.1,36409,18433,20.4,0.0,20.3,6.4,42.5,8.3,8.3,25.68469382,0.448454434,0.224227217,7.128810226,201.7
520,296.0,134,439.8,43466,61703,16.6,0.0,15.7,1.6,38.7,10.1,7.9,1.13202047,1.65349485,1.196799896,5.975420257,195.3
522,93.0,51,433.4,38597,17284,22.3,0.0,16.4,6.8,45.8,9.1,8.6,23.02627812,0.618308811,0.223278182,3.788634098,230.9
529,78.0,35,394.1,33347,12204,22.6,0.0,19.8,1.0,43.0,7.3,7.6,0.122709424,1.505235602,0.0,8.096280088,175.0
541,116.0,52,395.3,34923,26141,19.7,0.0,17.2,3.6,41.1,11.5,6.2,1.916698804,0.979560355,2.209795604,8.562113933,176.9
547,68.0,36,392.5,37691,12472,18.2,0.0,9.5,10.6,40.6,7.1,8.8,20.6918239,0.0,2.625786164,2.657444485,205.5
552,206.0,104,423.4,40877,43908,20.8,0.0,18.1,1.6,39.3,10.0,9.6,24.91752955,0.114542289,0.774305874,7.403380449,212.3
564,116.0,57,396.4,33127,20216,22.0,0.0,19.2,0.8,39.0,7.8,9.0,0.206246317,0.427224514,2.175407582,6.71641791,187.2
566,55.0,25,449.5,39896,8291,18.7,0.0,26.5,6.2,41.8,7.2,6.2,12.3184956,0.119019281,0.3808617,7.01754386,196.7
569,103.0,54,425.6,37761,17469,18.3,0.0,13.3,0.9,39.3,8.7,5.4,0.695111613,0.02825657,0.531223509,7.27081138,212.5
579,113.0,51,424.0,32975,16771,22.0,0.0,18.8,6.8,42.7,8.3,11.2,0.888130808,0.170568168,0.876367486,4.153846154,178.9
599,161.0,60,431.5,38221,29457,22.7,0.0,24.0,3.7,31.4,15.6,9.9,0.246938985,0.380697603,0.305244024,7.388908026,156.8
705,285.0,138,460.4,37498,49399,19.5,0.0,10.9,3.2,38.4,10.3,9.5,18.53465666,0.326797386,0.538610506,4.845775592,214.7
708,428.0,183,469.7,36740,68580,17.7,0.0,9.2,6.8,42.6,9.8,8.7,2.206311246,0.507466169,0.587669155,3.90120498,194.7
714,162.0,70,456.8,36285,25756,21.7,0.0,23.9,1.2,43.6,7.6,13.9,3.150579151,0.324324324,0.077220077,4.906586148,185.9
718,223.0,105,479.3,37151,32147,20.5,0.0,14.8,6.4,45.1,8.5,9.7,8.624376336,0.210728563,0.083671635,4.382650748,219.1
730,183.0,85,421.9,41802,33743,16.5,0.0,21.9,3.1,41.9,11.3,7.6,5.20119225,0.0804769,0.935916542,6.664803689,193.0
740,276.0,119,482.9,37392,45771,20.6,21.84789496,17.9,5.1,42.0,8.0,12.5,2.170313293,0.282604376,0.097145254,6.564217382,207.0
744,189.0,91,455.6,40683,30639,20.8,0.0,15.7,2.5,41.3,10.3,11.2,10.54964824,0.273057278,1.053679848,4.063986165,215.6
752,343.0,128,496.6,52640,68570,13.4,14.58363716,13.6,9.3,38.4,11.8,8.4,7.531219411,0.459763296,2.294367158,5.976467659,187.2
755,81.0,40,465.4,44111,14811,18.7,0.0,12.9,3.7,40.2,7.6,9.0,0.212445175,0.0,0.390625,3.240589198,227.4
789,53.0,24,372.8,57177,11004,12.0,0.0,13.1,15.5,30.7,19.7,6.4,0.606173645,0.484938916,2.471323324,3.865213082,154.0
796,210.0,97,427.7,41316,37896,17.5,0.0,17.3,7.2,37.9,13.1,4.3,4.305764809,0.470488727,1.572701081,2.5472273,188.4
817,179.0,78,499.6,37968,31439,21.7,0.0,28.0,4.0,41.1,9.7,9.2,17.14703824,0.334033212,0.34039575,7.155147691,208.0
819,478.0,203,467.5,47382,98325,17.6,20.34070684,17.8,6.0,39.1,10.2,7.0,13.35227856,0.81355028,1.597349037,4.817078346,198.7
856,486.0,200,472.8,36066,68628,20.1,14.571312,12.8,5.2,39.0,12.1,7.5,0.742804085,0.497107349,0.222841226,5.029215359,188.2
875,174.0,69,465.1,49573,32579,16.0,0.0,19.6,6.3,40.7,9.7,8.8,13.80239429,0.508251431,1.886041456,5.404323459,185.6
884,140.0,59,461.7,53288,19787,13.8,0.0,7.8,5.5,33.2,16.4,7.2,15.37920996,0.968729609,0.135521759,4.528650647,180.0
959,86.0,36,432.6,44397,15414,15.1,0.0,10.8,5.8,36.1,10.1,6.6,20.28537612,0.111783272,0.24986849,4.406073236,178.9
970,168.0,78,390.6,38474,29724,17.0,0.0,7.5,3.6,34.5,10.5,6.7,0.92778671,0.190916399,0.080385852,5.65626049,172.5
976,209.0,90,421.6,62394,49432,11.0,20.22981065,14.0,4.3,34.1,14.9,7.3,14.35032215,1.435238725,2.023789856,4.025191676,187.1
1014,134.0,53,420.3,47964,18409,14.0,0.0,10.0,0.0,23.9,13.3,15.2,0.65380154,0.938521565,1.471053464,4.06430088,167.2
1053,105.0,39,392.2,48840,18658,12.4,0.0,19.1,4.1,26.7,21.3,5.9,2.004478672,0.278551532,0.824731007,4.893475366,140.8
1063,406.0,158,482.4,54298,81468,14.4,36.82427456,20.7,8.0,35.4,13.4,8.3,21.21887498,0.516325545,0.678528534,5.800146592,193.8
1070,22.0,7,400.2,64752,5828,7.9,0.0,23.8,13.9,24.4,20.1,4.9,0.517395183,0.142729706,2.925958965,3.787268332,129.8
1075,8.0,5,373.8,42310,1423,13.5,0.0,19.4,12.4,34.3,13.3,2.0,0.820232399,0.0683527,0.0,3.095975232,200.9
1087,208.0,87,382.1,46336,40946,15.5,73.26723001,29.0,2.7,31.6,15.3,10.2,0.646821022,0.438564253,3.192453755,3.819022136,151.4
1089,100.0,41,400.0,33043,18343,26.0,0.0,20.3,6.1,28.9,10.7,10.7,0.333835882,0.942278699,3.553736808,4.346733668,150.9
1097,387.0,149,413.9,53953,70601,12.0,84.98463195,12.9,11.8,27.1,18.8,6.7,1.295963117,1.626279096,0.833520747,3.458753556,153.9
1108,484.0,207,387.2,54232,114625,11.4,8.724100327,17.5,4.8,38.3,14.5,6.1,1.519005291,0.747095368,0.935863236,5.293976097,166.7
1110,161.0,66,422.1,45743,23154,13.0,0.0,25.4,5.7,33.7,15.8,9.7,0.322344952,0.275067692,0.709158895,3.888098625,167.7
1114,616.0,262,448.2,46061,105659,16.8,132.5017273,12.9,7.1,35.6,12.5,9.7,1.353352453,0.588577105,0.587639881,5.244463933,182.3
1127,155.0,65,434.3,45158,26224,13.1,0.0,17.9,7.4,42.2,9.0,7.1,2.347701366,0.441609421,0.362346192,4.951690821,174.0
1151,105.0,45,420.9,44026,17495,13.5,0.0,11.3,3.8,41.0,10.7,4.8,0.726924377,0.383184943,0.946692212,7.105568445,168.7
1159,107.0,37,412.7,48683,20455,11.7,0.0,18.5,4.8,46.3,9.3,5.5,0.486168506,0.116680441,0.486168506,6.550868486,131.8
1167,333.0,147,472.2,52850,51945,10.4,0.0,14.7,5.2,43.7,12.6,5.7,0.441247002,0.447002398,0.627338129,5.973097545,189.4
1253,69.0,28,549.9,34073,9899,22.1,0.0,9.1,2.1,34.5,12.1,11.2,19.6419642,0.180018002,0.190019002,6.736458807,214.5
1263,61.0,30,382.1,37581,11880,19.1,0.0,22.3,2.8,39.5,12.1,6.5,0.27124774,1.150747986,1.142528358,5.542168675,172.5
1272,279.0,107,399.4,44410,44237,17.5,22.60551122,17.7,2.6,36.0,13.6,9.1,0.507660437,0.703439798,0.705716302,5.73630137,152.7
1287,95.0,40,435.4,34987,16393,21.7,0.0,23.6,6.0,41.9,9.8,13.2,0.078483458,0.078483458,0.688239556,9.043326548,179.1
1367,106.0,46,469.7,31558,19027,26.3,0.0,9.5,4.7,36.3,9.3,7.7,2.800763845,0.339486527,0.408444727,4.546508931,200.2
1369,119.0,47,513.5,54331,21979,11.3,0.0,15.4,3.5,38.8,11.4,6.9,2.329856165,0.569826754,0.289508754,5.4001554,202.2
1375,120.0,45,490.8,42812,20116,19.2,0.0,16.7,6.1,36.7,10.9,9.9,7.130365263,0.209863589,1.898765802,4.047026905,176.5
1385,507.0,194,518.7,52349,92066,13.2,65.17063846,9.4,12.7,31.0,18.2,6.8,3.211806505,0.812243782,0.637332605,4.943288381,198.6
1388,176.0,76,541.3,34991,27158,23.9,0.0,14.4,5.0,41.4,7.9,11.1,0.819732123,0.135402181,0.073190368,4.045610747,232.1
1394,108.0,47,474.6,35664,16759,20.6,0.0,16.6,2.1,38.8,8.4,10.0,12.38754735,0.390625,0.0,5.73089701,205.8
1429,68.0,32,381.9,35256,14462,22.3,0.0,16.9,0.8,37.5,8.2,10.0,13.43140609,0.64317482,1.108450222,4.5,174.7
1488,120.0,57,425.5,36374,22493,23.4,0.0,33.1,2.2,39.2,5.4,9.0,21.50319594,0.312982147,0.806700463,8.854568855,198.5
1493,266.0,120,472.0,44402,48689,16.5,20.53851999,24.1,6.4,39.6,12.5,6.1,6.975351967,0.93101028,2.087031914,5.886681383,206.1
1508,173.0,81,496.9,40774,27755,19.2,0.0,22.8,2.1,43.5,10.1,4.4,2.429429976,0.280458933,1.591695502,6.713239053,227.9
1519,269.0,124,460.6,41514,45366,18.2,0.0,25.1,2.6,34.0,13.0,7.8,1.882115515,0.633952662,2.66523351,6.042169307,203.1
1526,55.0,25,456.5,52662,9870,12.5,0.0,20.2,1.1,42.5,10.2,4.0,1.893821794,0.734761461,2.50439822,4.884922499,200.2
1545,203.0,86,475.3,41423,38194,17.3,0.0,14.4,5.9,33.5,16.7,6.2,2.351859151,0.906582578,0.525555118,5.893866899,195.7
1548,18.0,8,362.3,56139,3788,12.3,0.0,36.7,3.5,39.7,14.9,0.8,0.105820106,0.026455026,0.105820106,2.822580645,153.2
1549,432.0,170,445.5,56465,90802,10.0,0.0,15.7,6.4,33.1,16.8,5.5,1.085323467,0.969839668,1.587621931,5.259595862,174.5
1578,383.0,159,438.0,39234,66016,21.9,0.0,20.0,3.6,29.9,12.6,12.4,0.892803007,1.156551264,1.765900685,6.075036075,177.9
1587,416.0,153,469.8,52626,79391,14.1,0.0,10.8,4.3,26.8,18.1,10.8,0.679488507,2.098001657,2.724425347,4.832893816,165.5
1596,169.0,75,493.1,34116,28024,24.8,0.0,16.5,3.5,43.6,6.4,13.4,0.382585285,0.109816147,0.092103865,4.079365079,217.2
1611,214.0,96,459.8,41547,36569,18.1,0.0,20.7,5.9,50.3,8.5,7.8,1.06197582,0.383945104,0.125258686,5.832147937,203.0
1627,150.0,65,433.4,45195,31682,19.0,0.0,8.1,5.7,49.2,7.2,9.6,0.94844971,0.79405092,0.305646584,8.008741483,185.1
1653,183.0,75,456.7,49846,35074,12.1,0.0,21.7,7.2,46.2,8.9,7.0,0.405760658,0.125728655,0.085724083,4.83615222,185.0
1658,179.0,79,443.4,43341,35985,17.8,0.0,25.9,1.7,43.9,7.0,9.5,0.26925746,0.205412908,0.116585704,4.775349865,200.6
1662,244.0,101,471.1,49516,41329,13.0,0.0,19.2,3.7,46.0,8.1,7.3,0.621371335,0.513411065,0.0,3.877752218,192.7
1663,168.0,64,425.6,56519,34042,7.8,0.0,16.2,10.2,42.8,11.9,3.4,0.324713316,0.175520711,2.805406038,6.184443536,154.6
1675,156.0,67,425.0,49565,28562,10.1,0.0,16.7,7.1,48.7,9.4,7.5,0.899356103,0.279955207,0.804871221,4.894094994,172.1
1684,36.0,14,447.6,51885,5868,16.6,0.0,16.6,6.0,40.6,14.7,4.9,1.911381407,0.034752389,1.911381407,4.431818182,159.5
1685,76.0,26,442.0,35910,13793,21.8,0.0,25.1,1.6,40.8,9.6,8.7,4.091758953,0.510570977,0.640011506,5.756929638,151.7
1692,149.0,66,444.1,44010,25775,16.8,38.79728419,26.8,6.0,28.5,11.7,9.0,0.662953083,1.01992782,4.65636278,5.246743717,185.4
1700,330.0,110,479.9,46890,48586,13.6,0.0,18.6,6.3,50.8,8.5,7.3,0.568390172,0.226133724,0.305586114,4.585306863,151.2
1713,232.0,98,486.0,44224,39441,17.4,0.0,10.6,8.8,45.6,11.3,6.1,1.499469884,0.527591256,0.138839804,4.785376874,196.6
1726,248.0,105,423.7,44531,45668,15.1,0.0,9.9,5.2,51.7,9.1,8.1,5.284712238,0.457456542,0.411710887,6.823375775,172.7
1728,304.0,120,495.4,43810,44430,13.3,0.0,16.3,7.9,51.2,9.7,6.4,0.527303602,0.254714452,0.10724819,6.414368185,183.2
1747,346.0,120,461.5,58375,55949,10.6,71.49368175,13.1,8.6,35.8,14.7,11.6,5.871238876,1.536233931,1.214860856,5.499704317,157.4
1748,114.0,52,456.5,40323,17093,14.3,0.0,15.0,7.7,48.2,9.2,6.9,0.575473327,0.345283996,0.270472464,6.77146312,191.9
1750,224.0,78,474.1,49117,40444,13.1,0.0,12.6,3.6,46.0,10.0,5.0,1.011336962,0.684213155,0.471957249,4.883318928,159.2
1751,494.0,189,455.9,45706,75522,13.5,39.72352427,13.0,8.4,49.3,9.9,6.9,2.640406176,0.304110054,0.41113591,5.627676205,159.4
1802,270.0,105,454.8,38465,51542,20.1,0.0,23.4,2.6,33.4,12.1,6.4,14.57775519,0.480778627,1.670998886,5.031504818,174.1
1810,561.0,221,410.9,64533,129048,9.2,61.99243692,13.7,8.5,25.5,22.9,4.9,1.968536846,0.862645446,3.178079444,6.213794701,158.3
1811,86.0,42,432.1,38280,13430,19.7,0.0,24.3,3.2,37.0,11.5,4.5,0.418410042,0.330323717,1.614915951,9.379671151,197.7
1813,203.0,84,428.1,57378,39229,15.3,0.0,19.8,4.8,32.1,14.7,7.0,2.425118031,0.73785506,0.918448956,7.427277062,169.2
1834,83.0,34,374.9,35491,17142,23.7,0.0,32.7,1.0,37.7,8.8,7.2,24.7731189,0.241240666,2.349224584,3.950011158,151.9
1838,30.0,15,376.7,36898,5901,23.7,0.0,13.9,7.4,29.1,12.9,8.0,2.929750728,0.080932341,2.379410813,4.490106545,173.5
1840,59.0,24,413.3,42099,10651,16.4,0.0,7.4,3.1,33.5,11.0,6.6,5.057080857,0.037739409,2.377582791,4.741980474,156.3
1851,579.0,258,441.0,50020,124108,18.2,145.0349695,16.5,6.3,28.2,14.0,5.9,20.14483106,1.410966244,1.405283411,6.625137665,189.9
1876,110.0,42,422.7,51508,21734,13.9,0.0,20.9,1.6,31.2,10.8,5.3,2.726690457,0.613047854,3.527312654,7.239057239,158.9
1900,101.0,54,405.0,45159,17086,13.5,0.0,21.2,1.0,36.2,12.0,7.5,7.836375528,0.356739402,2.651762887,8.203125,205.4
1916,178.0,82,343.3,53440,48417,14.3,0.0,25.4,1.9,31.9,13.2,6.6,2.276755571,0.282748143,4.205351114,9.143368819,155.6
1919,142.0,72,429.4,41849,24513,18.3,0.0,30.5,4.2,37.5,12.3,9.6,8.445612882,0.575090371,4.370686822,3.708958249,206.1
1927,242.0,113,442.2,43091,48323,20.3,0.0,21.8,1.6,30.5,10.8,10.9,13.63523006,0.679579367,3.285672721,7.936654936,201.9
1929,81.0,36,427.3,38742,15107,17.9,0.0,17.3,3.1,34.8,8.9,7.7,4.176349512,0.351902264,4.335701481,7.608695652,187.7
1939,341.0,139,522.6,41401,46972,18.5,0.0,27.1,2.8,37.7,8.2,10.0,11.01207902,0.572506668,1.377052024,7.024390244,215.6
1950,62.0,27,423.0,38607,10551,18.1,0.0,21.0,6.7,38.8,13.3,3.4,2.077549067,0.603159406,3.303015797,3.956148713,174.2
1951,242.0,108,399.9,46427,53070,16.6,18.8430375,23.8,2.3,33.7,9.9,4.9,17.52249472,0.559328058,1.062536244,6.74359899,174.4
1954,161.0,77,464.5,43087,27413,18.6,0.0,34.6,0.0,45.0,8.1,12.6,11.36069274,0.662398697,1.23228361,5.042979943,215.4
1960,122.0,60,403.3,35772,25402,22.0,39.36697898,26.9,8.6,35.7,9.6,7.9,17.63654033,0.882410107,1.321671526,9.509579891,193.9
1963,43.0,18,425.4,51733,8739,12.1,0.0,16.9,8.0,26.3,15.9,2.1,0.604089219,0.0,3.496747212,9.165808445,168.2
1985,105.0,43,481.0,44065,14858,13.5,0.0,8.8,7.5,43.2,10.3,6.1,0.44153064,0.287663902,0.060208724,6.720977597,180.8
1988,66.0,33,444.5,37911,10097,19.2,0.0,11.6,6.5,39.3,10.3,4.5,0.819032761,0.28276131,0.08775351,7.829010567,209.2
1992,27.0,13,368.2,41652,4484,14.4,0.0,20.8,3.8,44.4,12.9,5.2,0.346695558,0.45503792,0.0,7.474518686,154.1
1994,214.0,109,417.6,32662,40117,22.1,0.0,18.7,4.2,39.0,8.2,8.3,0.309973714,0.612508059,0.600109111,7.519053578,204.4
2019,135.0,67,425.7,36867,20171,20.7,0.0,32.4,2.1,41.3,9.0,11.7,1.241038319,0.049443758,0.232385661,6.885245902,203.7
2025,60.0,31,389.4,31025,9409,22.3,0.0,29.4,0.0,44.2,7.5,12.6,0.167767642,0.0,0.450875537,5.784615385,190.2
2027,100.0,42,437.7,50548,19183,11.6,0.0,17.0,5.0,44.4,10.9,4.2,0.790575916,0.356020942,0.204188482,5.280764636,174.4
2035,48.0,28,369.8,51738,10196,11.6,0.0,18.0,8.4,48.5,8.2,6.2,1.435126428,0.0,0.01952553,6.335282651,205.2
2037,132.0,57,472.9,51986,22810,15.3,0.0,22.0,8.4,47.3,9.2,8.2,1.354695845,0.204072771,0.329990013,4.663623735,204.2
2045,126.0,62,445.9,41112,23258,16.3,0.0,16.0,3.6,39.4,11.5,5.5,4.928430616,0.351418531,3.767035228,6.003068661,205.8
2056,110.0,54,417.0,40267,20826,17.5,0.0,16.2,3.0,41.0,10.1,5.4,0.905259124,0.694510968,0.086215155,5.078698846,194.4
2095,216.0,73,494.3,49809,34833,14.2,0.0,26.9,8.7,34.6,11.9,5.5,4.484407011,0.722740724,0.264625541,7.177836855,162.7
2103,418.0,159,534.1,47547,62230,14.6,0.0,21.2,6.8,41.6,11.7,9.5,3.231259968,0.473684211,0.622009569,4.671621417,198.4
2104,564.0,198,506.7,49191,91446,12.9,0.0,17.9,7.7,37.0,12.3,7.5,3.423649584,0.634089335,0.83968144,5.106970324,175.5
2126,384.0,149,427.6,56797,70928,13.9,0.0,16.9,10.8,23.3,19.1,9.0,12.27773576,1.389568596,4.478652252,5.81829259,146.8
2173,41.0,22,417.3,50358,8692,13.8,0.0,12.3,3.2,46.8,7.2,5.9,1.291959857,0.0,0.19610105,3.907074974,223.6
2176,113.0,45,500.9,41406,18763,18.5,0.0,29.6,6.7,42.5,9.1,8.1,2.118189618,0.101887602,1.313813814,3.484486874,196.4
2177,115.0,54,519.5,38038,18454,23.0,0.0,35.0,1.3,41.3,5.9,9.6,4.706903096,0.227753376,0.244021474,8.986232791,243.5
2182,102.0,49,447.9,45168,16591,14.6,0.0,23.2,5.7,44.2,9.0,8.6,0.444102321,0.112505921,0.307910943,5.674931129,211.7
2183,108.0,51,396.8,54086,22872,11.1,87.44316194,24.7,7.3,42.6,12.9,6.4,0.239808153,0.553738827,0.318290822,3.468663776,185.8
2193,440.0,187,422.9,47433,82556,16.8,0.0,25.4,7.0,36.4,12.1,9.2,7.088745243,1.238446203,0.660907388,5.977036752,172.2
2201,225.0,88,487.1,44077,37927,17.4,26.36644079,11.2,2.6,37.8,9.7,6.1,2.974094898,0.578004309,0.514949293,3.923660503,183.5
2206,275.0,119,466.2,45232,45495,12.5,0.0,22.9,7.9,42.9,9.0,6.3,0.373248352,0.578425809,0.550050203,5.305999397,197.2
2213,192.0,82,420.0,46945,38227,12.3,0.0,19.6,4.7,44.2,10.6,6.9,0.854029131,0.537042859,0.741381117,6.749577397,171.0
2214,381.0,151,490.3,54849,69648,11.5,86.14748449,14.7,4.9,41.6,10.2,7.3,0.391913894,0.618128899,0.289612841,4.493889063,200.8
2220,92.0,37,425.0,42056,16901,17.5,0.0,31.0,5.7,40.5,9.1,7.8,2.086865026,0.081837844,0.134447887,5.194197473,171.8
2226,188.0,85,444.2,49467,37585,13.5,0.0,12.5,3.9,42.8,8.7,7.3,4.124833997,0.871181939,0.241699867,4.543828265,197.1
2237,58.0,29,475.0,47606,10524,17.4,0.0,31.2,0.0,46.6,6.5,9.6,0.99047619,0.238095238,0.438095238,3.788224555,232.3
2240,43.0,17,479.0,47410,7182,13.8,0.0,23.2,7.7,42.6,12.2,7.7,0.164406083,0.602822304,0.013700507,3.571428571,192.3
2245,49.0,20,456.2,55925,8269,9.9,0.0,23.1,6.1,43.8,12.4,5.5,0.561730608,0.095613721,0.239034301,7.88863109,177.2
2246,307.0,113,449.0,65793,61897,8.2,113.091103,15.7,9.4,33.8,17.0,5.0,1.568981064,2.077219444,0.222969096,4.717612918,165.1
2249,139.0,56,412.6,51182,27964,10.7,0.0,16.8,4.8,41.8,11.8,4.1,0.69074687,0.604403511,0.859835948,5.617591479,157.0
2254,86.0,30,428.5,45229,13886,12.4,144.0299582,9.4,11.7,42.1,11.6,6.0,0.704125178,0.277382646,0.327169275,8.380520951,142.4
2274,305.0,127,483.1,48528,47768,12.9,20.93451683,17.6,7.3,36.3,13.9,4.8,2.795409904,0.665770702,0.5892691,4.6635126,191.8
2299,415.0,169,472.9,52082,88399,15.6,0.0,14.7,3.7,35.6,12.5,7.9,15.98473336,1.252885697,0.620642452,5.68799466,193.3
2356,54.0,18,410.8,49380,10103,11.7,0.0,19.5,0.0,28.6,21.1,5.7,0.041152263,0.164609053,0.051440329,1.604584527,131.6
2370,97.0,37,521.0,45709,13428,13.6,0.0,17.7,11.5,38.6,11.1,6.7,0.544838757,0.16197909,0.0,6.40518172,190.0
